Level3,Batch Total,Correct,Incorrect,Accuracy,Univrep,Spread %,Representation
60111200,1,0,1,0,1,1,4.76844E-07
42143700,1,0,1,0,1,1,4.76844E-07
50425400,1,0,1,0,1,1,4.76844E-07
25181600,1,0,1,0,1,1,4.76844E-07
42261500,1,0,1,0,1,1,4.76844E-07
45101900,1,0,1,0,1,1,4.76844E-07
23121500,1,0,1,0,1,1,4.76844E-07
50202800,1,0,1,0,1,1,4.76844E-07
50192600,1,0,1,0,1,1,4.76844E-07
25161500,1,0,1,0,1,1,4.76844E-07
20122800,1,0,1,0,2,0.5,9.53688E-07
30141600,1,0,1,0,2,0.5,9.53688E-07
50417000,1,0,1,0,2,0.5,9.53688E-07
42204000,1,0,1,0,2,0.5,9.53688E-07
25172800,1,0,1,0,2,0.5,9.53688E-07
22101800,1,0,1,0,2,0.5,9.53688E-07
10131600,1,0,1,0,2,0.5,9.53688E-07
41115800,1,0,1,0,2,0.5,9.53688E-07
41112900,2,0,2,0,3,0.666666667,1.43053E-06
60122600,1,0,1,0,3,0.333333333,1.43053E-06
50465600,1,0,1,0,3,0.333333333,1.43053E-06
60131400,1,0,1,0,3,0.333333333,1.43053E-06
60123300,1,0,1,0,3,0.333333333,1.43053E-06
56112300,1,0,1,0,3,0.333333333,1.43053E-06
50363300,1,0,1,0,3,0.333333333,1.43053E-06
52171000,1,0,1,0,3,0.333333333,1.43053E-06
50361500,1,0,1,0,3,0.333333333,1.43053E-06
42151500,1,0,1,0,3,0.333333333,1.43053E-06
82121600,1,0,1,0,3,0.333333333,1.43053E-06
10151600,2,0,2,0,4,0.5,1.90738E-06
10141600,2,0,2,0,4,0.5,1.90738E-06
50424500,1,0,1,0,4,0.25,1.90738E-06
50221000,1,0,1,0,4,0.25,1.90738E-06
26111900,2,0,2,0,5,0.4,2.38422E-06
50302900,1,0,1,0,5,0.2,2.38422E-06
32111600,2,0,2,0,5,0.4,2.38422E-06
54111500,2,0,2,0,5,0.4,2.38422E-06
44102600,2,0,2,0,5,0.4,2.38422E-06
12162300,1,0,1,0,5,0.2,2.38422E-06
50365300,1,0,1,0,5,0.2,2.38422E-06
43212200,1,0,1,0,5,0.2,2.38422E-06
50365400,2,0,2,0,6,0.333333333,2.86107E-06
50426400,1,0,1,0,6,0.166666667,2.86107E-06
10111300,3,0,3,0,6,0.5,2.86107E-06
50465200,2,0,2,0,6,0.333333333,2.86107E-06
50193300,1,0,1,0,6,0.166666667,2.86107E-06
10121800,2,0,2,0,7,0.285714286,3.33791E-06
43232400,2,0,2,0,7,0.285714286,3.33791E-06
60122300,2,0,2,0,7,0.285714286,3.33791E-06
60121900,1,0,1,0,7,0.142857143,3.33791E-06
26142400,2,0,2,0,7,0.285714286,3.33791E-06
22101500,1,0,1,0,8,0.125,3.81475E-06
12191500,1,0,1,0,8,0.125,3.81475E-06
10191700,3,0,3,0,9,0.333333333,4.2916E-06
53103200,1,0,1,0,9,0.111111111,4.2916E-06
55111500,2,0,2,0,10,0.2,4.76844E-06
12352200,2,0,2,0,10,0.2,4.76844E-06
78141500,3,0,3,0,11,0.272727273,5.24529E-06
60131300,4,0,4,0,11,0.363636364,5.24529E-06
50421800,1,0,1,0,11,0.090909091,5.24529E-06
72102900,1,0,1,0,11,0.090909091,5.24529E-06
49171500,4,0,4,0,12,0.333333333,5.72213E-06
60141400,1,0,1,0,12,0.083333333,5.72213E-06
27112400,2,0,2,0,12,0.166666667,5.72213E-06
76121500,2,0,2,0,12,0.166666667,5.72213E-06
50425800,1,0,1,0,13,0.076923077,6.19897E-06
25101500,7,0,7,0,14,0.5,6.67582E-06
60102400,2,0,2,0,14,0.142857143,6.67582E-06
52121500,3,0,3,0,14,0.214285714,6.67582E-06
44102900,1,0,1,0,14,0.071428571,6.67582E-06
32121600,2,0,2,0,15,0.133333333,7.15266E-06
42182800,1,0,1,0,15,0.066666667,7.15266E-06
45101800,1,0,1,0,15,0.066666667,7.15266E-06
60121200,4,0,4,0,16,0.25,7.62951E-06
54111700,4,0,4,0,16,0.25,7.62951E-06
51142000,4,0,4,0,16,0.25,7.62951E-06
30111900,1,0,1,0,16,0.0625,7.62951E-06
41105500,1,0,1,0,17,0.058823529,8.10635E-06
23281700,1,0,1,0,17,0.058823529,8.10635E-06
50405500,2,0,2,0,18,0.111111111,8.5832E-06
60105000,4,0,4,0,18,0.222222222,8.5832E-06
46161600,4,0,4,0,18,0.222222222,8.5832E-06
53102900,6,0,6,0,18,0.333333333,8.5832E-06
45141600,2,0,2,0,18,0.111111111,8.5832E-06
50211600,4,0,4,0,18,0.222222222,8.5832E-06
43232900,2,0,2,0,18,0.111111111,8.5832E-06
42143500,3,0,3,0,18,0.166666667,8.5832E-06
50407000,2,0,2,0,19,0.105263158,9.06004E-06
41115200,2,0,2,0,19,0.105263158,9.06004E-06
23181700,2,0,2,0,19,0.105263158,9.06004E-06
44101500,2,0,2,0,19,0.105263158,9.06004E-06
50465500,3,0,3,0,20,0.15,9.53688E-06
52131700,3,0,3,0,20,0.15,9.53688E-06
60122200,3,0,3,0,20,0.15,9.53688E-06
43232600,5,0,5,0,21,0.238095238,1.00137E-05
41123100,2,0,2,0,21,0.095238095,1.00137E-05
60131500,4,0,4,0,21,0.19047619,1.00137E-05
40142200,3,0,3,0,22,0.136363636,1.04906E-05
20102000,4,0,4,0,22,0.181818182,1.04906E-05
60124500,2,0,2,0,22,0.090909091,1.04906E-05
41104000,7,0,7,0,22,0.318181818,1.04906E-05
42212300,3,0,3,0,23,0.130434783,1.09674E-05
42241700,4,0,4,0,23,0.173913043,1.09674E-05
43232700,2,0,2,0,23,0.086956522,1.09674E-05
72102100,2,0,2,0,23,0.086956522,1.09674E-05
10161500,4,0,4,0,24,0.166666667,1.14443E-05
50464800,5,0,5,0,24,0.208333333,1.14443E-05
60102600,4,0,4,0,24,0.166666667,1.14443E-05
72154000,2,0,2,0,24,0.083333333,1.14443E-05
43221500,3,0,3,0,25,0.12,1.19211E-05
45111700,3,0,3,0,25,0.12,1.19211E-05
10101900,5,0,5,0,25,0.2,1.19211E-05
42181600,4,0,4,0,26,0.153846154,1.23979E-05
30102900,4,0,4,0,26,0.153846154,1.23979E-05
30151800,3,0,3,0,26,0.115384615,1.23979E-05
60141100,4,0,4,0,27,0.148148148,1.28748E-05
42142100,3,0,3,0,27,0.111111111,1.28748E-05
60101100,3,0,3,0,28,0.107142857,1.33516E-05
50131800,4,0,4,0,28,0.142857143,1.33516E-05
24112900,5,0,5,0,28,0.178571429,1.33516E-05
43233000,5,0,5,0,28,0.178571429,1.33516E-05
23261500,4,0,4,0,29,0.137931034,1.38285E-05
51102700,7,0,7,0,29,0.24137931,1.38285E-05
53102700,3,0,3,0,29,0.103448276,1.38285E-05
10131700,3,0,3,0,29,0.103448276,1.38285E-05
12171500,4,0,4,0,30,0.133333333,1.43053E-05
50202400,5,0,5,0,30,0.166666667,1.43053E-05
60104500,1,0,1,0,30,0.033333333,1.43053E-05
50203100,7,0,7,0,31,0.225806452,1.47822E-05
50404800,5,0,5,0,32,0.15625,1.5259E-05
27113100,4,0,4,0,32,0.125,1.5259E-05
56101800,6,0,6,0,32,0.1875,1.5259E-05
50405900,5,0,5,0,32,0.15625,1.5259E-05
49241500,8,0,8,0,33,0.242424242,1.57359E-05
46101500,5,0,5,0,34,0.147058824,1.62127E-05
42192000,9,0,9,0,34,0.264705882,1.62127E-05
23242600,4,0,4,0,34,0.117647059,1.62127E-05
50466400,3,0,3,0,35,0.085714286,1.66895E-05
44102800,8,0,8,0,36,0.222222222,1.71664E-05
49161600,8,0,8,0,36,0.222222222,1.71664E-05
25171500,7,0,7,0,36,0.194444444,1.71664E-05
42171900,10,0,10,0,36,0.277777778,1.71664E-05
48111100,5,0,5,0,36,0.138888889,1.71664E-05
12163400,9,0,9,0,37,0.243243243,1.76432E-05
56121000,8,0,8,0,37,0.216216216,1.76432E-05
24112200,7,0,7,0,37,0.189189189,1.76432E-05
60101600,7,0,7,0,37,0.189189189,1.76432E-05
10122100,4,0,4,0,38,0.105263158,1.81201E-05
31211800,3,0,3,0,38,0.078947368,1.81201E-05
25175000,7,0,7,0,38,0.184210526,1.81201E-05
46191500,6,0,6,0,38,0.157894737,1.81201E-05
42211900,8,0,8,0,39,0.205128205,1.85969E-05
60101300,6,0,6,0,39,0.153846154,1.85969E-05
49161500,8,0,8,0,40,0.2,1.90738E-05
21101500,3,0,3,0,40,0.075,1.90738E-05
43222900,6,0,6,0,41,0.146341463,1.95506E-05
82121500,6,0,6,0,41,0.146341463,1.95506E-05
23201200,4,0,4,0,41,0.097560976,1.95506E-05
50131700,6,0,6,0,41,0.146341463,1.95506E-05
60123200,5,0,5,0,41,0.12195122,1.95506E-05
54101600,6,0,6,0,42,0.142857143,2.00275E-05
43223200,6,0,6,0,42,0.142857143,2.00275E-05
42271900,8,0,8,0,42,0.19047619,2.00275E-05
50404100,8,0,8,0,42,0.19047619,2.00275E-05
51161800,7,0,7,0,43,0.162790698,2.05043E-05
26112000,8,0,8,0,44,0.181818182,2.09811E-05
12131700,12,0,12,0,45,0.266666667,2.1458E-05
45111900,8,0,8,0,45,0.177777778,2.1458E-05
49141600,9,0,9,0,45,0.2,2.1458E-05
52121700,8,0,8,0,45,0.177777778,2.1458E-05
25151700,5,0,5,0,46,0.108695652,2.19348E-05
45111500,13,0,13,0,47,0.276595745,2.24117E-05
76111800,8,0,8,0,47,0.170212766,2.24117E-05
50161900,6,0,6,0,47,0.127659574,2.24117E-05
31251500,6,0,6,0,48,0.125,2.28885E-05
43232200,9,0,9,0,48,0.1875,2.28885E-05
50461800,5,0,5,0,48,0.104166667,2.28885E-05
50172000,11,0,11,0,49,0.224489796,2.33654E-05
53101600,9,0,9,0,51,0.176470588,2.43191E-05
50404900,9,0,9,0,52,0.173076923,2.47959E-05
53141500,10,0,10,0,53,0.188679245,2.52727E-05
32151900,8,0,8,0,54,0.148148148,2.57496E-05
60103600,9,0,9,0,55,0.163636364,2.62264E-05
60104400,15,0,15,0,56,0.267857143,2.67033E-05
49131600,8,0,8,0,56,0.142857143,2.67033E-05
56131600,11,0,11,0,57,0.192982456,2.71801E-05
41102600,8,0,8,0,57,0.140350877,2.71801E-05
46151600,10,0,10,0,57,0.175438596,2.71801E-05
40161600,5,0,5,0,57,0.087719298,2.71801E-05
43231600,6,0,6,0,58,0.103448276,2.7657E-05
13111200,10,0,10,0,59,0.169491525,2.81338E-05
49181500,6,0,6,0,59,0.101694915,2.81338E-05
60124300,8,0,8,0,59,0.13559322,2.81338E-05
46131600,4,0,4,0,60,0.066666667,2.86107E-05
95111600,16,0,16,0,61,0.262295082,2.90875E-05
23241400,11,0,11,0,62,0.177419355,2.95643E-05
44103200,11,0,11,0,62,0.177419355,2.95643E-05
44101900,8,0,8,0,63,0.126984127,3.00412E-05
32121500,6,0,6,0,64,0.09375,3.0518E-05
60104800,9,0,9,0,65,0.138461538,3.09949E-05
43232300,7,0,7,0,65,0.107692308,3.09949E-05
42231800,11,0,11,0,68,0.161764706,3.24254E-05
43231500,7,0,7,0,68,0.102941176,3.24254E-05
12161700,16,0,16,0,69,0.231884058,3.29023E-05
95121600,12,0,12,0,70,0.171428571,3.33791E-05
30151700,12,0,12,0,71,0.169014085,3.38559E-05
47121500,9,0,9,0,72,0.125,3.43328E-05
50182000,15,0,15,0,72,0.208333333,3.43328E-05
42192200,9,0,9,0,72,0.125,3.43328E-05
24131900,14,0,14,0,72,0.194444444,3.43328E-05
49201500,9,0,9,0,73,0.123287671,3.48096E-05
43233500,16,0,16,0,74,0.216216216,3.52865E-05
49201600,17,0,17,0,74,0.22972973,3.52865E-05
41106200,15,0,15,0,75,0.2,3.57633E-05
24112700,12,0,12,0,75,0.16,3.57633E-05
25111900,17,0,17,0,75,0.226666667,3.57633E-05
25173900,20,0,20,0,76,0.263157895,3.62402E-05
50171700,13,0,13,0,76,0.171052632,3.62402E-05
42211500,16,0,16,0,77,0.207792208,3.6717E-05
26101400,15,0,15,0,78,0.192307692,3.71938E-05
30111500,12,0,12,0,79,0.151898734,3.76707E-05
26101300,14,0,14,0,79,0.17721519,3.76707E-05
42142900,11,0,11,0,81,0.135802469,3.86244E-05
60104700,18,0,18,0,82,0.219512195,3.91012E-05
25101900,16,0,16,0,83,0.192771084,3.95781E-05
73151800,17,0,17,0,83,0.204819277,3.95781E-05
41112800,15,0,15,0,83,0.180722892,3.95781E-05
42211800,12,0,12,0,84,0.142857143,4.00549E-05
53101500,14,0,14,0,86,0.162790698,4.10086E-05
49211800,14,0,14,0,87,0.16091954,4.14854E-05
44102200,17,0,17,0,88,0.193181818,4.19623E-05
40101900,13,0,13,0,90,0.144444444,4.2916E-05
39101900,13,0,13,0,91,0.142857143,4.33928E-05
11111800,20,0,20,0,95,0.210526316,4.53002E-05
20122300,17,0,17,0,95,0.178947368,4.53002E-05
10161800,12,0,12,0,97,0.12371134,4.62539E-05
60121400,18,0,18,0,97,0.18556701,4.62539E-05
20101500,17,0,17,0,98,0.173469388,4.67307E-05
76121900,16,0,16,0,98,0.163265306,4.67307E-05
12161900,16,0,16,0,99,0.161616162,4.72076E-05
41122200,17,0,17,0,100,0.17,4.76844E-05
42312300,13,0,13,0,100,0.13,4.76844E-05
50102500,18,0,18,0,102,0.176470588,4.86381E-05
23271600,16,0,16,0,104,0.153846154,4.95918E-05
50377000,14,0,14,0,107,0.130841121,5.10223E-05
26142300,15,0,15,0,108,0.138888889,5.14992E-05
32111500,15,0,15,0,108,0.138888889,5.14992E-05
12164500,21,0,21,0,111,0.189189189,5.29297E-05
42292700,19,0,19,0,112,0.169642857,5.34066E-05
72141100,15,0,15,0,113,0.132743363,5.38834E-05
50202200,17,0,17,0,114,0.149122807,5.43602E-05
41113100,19,0,19,0,115,0.165217391,5.48371E-05
11121700,21,0,21,0,116,0.181034483,5.53139E-05
50171900,17,0,17,0,118,0.144067797,5.62676E-05
23152200,16,0,16,0,120,0.133333333,5.72213E-05
10171700,20,0,20,0,123,0.162601626,5.86518E-05
43233400,10,0,10,0,123,0.081300813,5.86518E-05
51191600,18,0,18,0,124,0.14516129,5.91287E-05
24112000,24,0,24,0,124,0.193548387,5.91287E-05
52141800,19,0,19,0,128,0.1484375,6.10361E-05
22101900,19,0,19,0,130,0.146153846,6.19897E-05
42311500,24,0,24,0,131,0.183206107,6.24666E-05
93141500,20,0,20,0,132,0.151515152,6.29434E-05
45131700,23,0,23,0,132,0.174242424,6.29434E-05
42192600,19,0,19,0,133,0.142857143,6.34203E-05
24102100,30,0,30,0,134,0.223880597,6.38971E-05
47132100,25,0,25,0,137,0.182481752,6.53277E-05
42251600,26,0,26,0,138,0.188405797,6.58045E-05
24131500,22,0,22,0,138,0.15942029,6.58045E-05
43233200,27,0,27,0,138,0.195652174,6.58045E-05
41103400,23,0,23,0,140,0.164285714,6.67582E-05
30172000,25,0,25,0,141,0.177304965,6.7235E-05
11122000,26,0,26,0,143,0.181818182,6.81887E-05
44102300,21,0,21,0,144,0.145833333,6.86656E-05
23231900,24,0,24,0,144,0.166666667,6.86656E-05
50192300,20,0,20,0,145,0.137931034,6.91424E-05
56101900,31,0,31,0,145,0.213793103,6.91424E-05
41101700,20,0,20,0,145,0.137931034,6.91424E-05
25171600,27,0,27,0,145,0.186206897,6.91424E-05
60111000,24,0,24,0,145,0.165517241,6.91424E-05
31401900,22,0,22,0,147,0.149659864,7.00961E-05
23231200,28,0,28,0,151,0.185430464,7.20035E-05
95141500,22,0,22,0,151,0.145695364,7.20035E-05
42294000,30,0,30,0,155,0.193548387,7.39109E-05
60122500,26,0,26,0,155,0.167741935,7.39109E-05
70111600,22,0,22,0,156,0.141025641,7.43877E-05
60103400,20,0,20,0,157,0.127388535,7.48645E-05
50101700,35,0,35,0,157,0.222929936,7.48645E-05
46181900,21,0,21,0,158,0.132911392,7.53414E-05
53131500,29,0,29,0,162,0.179012346,7.72488E-05
41114600,30,0,30,0,165,0.181818182,7.86793E-05
10151900,21,0,21,0,165,0.127272727,7.86793E-05
32151500,35,0,35,0,165,0.212121212,7.86793E-05
30191600,26,0,26,0,165,0.157575758,7.86793E-05
46151500,36,0,36,0,168,0.214285714,8.01098E-05
26131800,24,0,24,0,169,0.142011834,8.05867E-05
30111600,26,0,26,0,170,0.152941176,8.10635E-05
47101600,30,0,30,0,174,0.172413793,8.29709E-05
60105700,38,0,38,0,175,0.217142857,8.34477E-05
41113900,29,0,29,0,177,0.163841808,8.44014E-05
41114400,25,0,25,0,178,0.140449438,8.48783E-05
39112300,39,0,39,0,182,0.214285714,8.67856E-05
56121900,34,0,34,0,182,0.186813187,8.67856E-05
41113700,31,0,31,0,184,0.168478261,8.77393E-05
48101600,33,0,33,0,189,0.174603175,9.01236E-05
41112100,36,0,36,0,190,0.189473684,9.06004E-05
42182100,39,0,39,0,191,0.204188482,9.10772E-05
39112600,27,0,27,0,194,0.139175258,9.25078E-05
50221300,33,0,33,0,195,0.169230769,9.29846E-05
60102100,33,0,33,0,196,0.168367347,9.34615E-05
41104100,32,0,32,0,197,0.162436548,9.39383E-05
53102400,41,0,41,0,201,0.2039801,9.58457E-05
23181800,34,0,34,0,203,0.167487685,9.67994E-05
53131700,31,0,31,0,206,0.150485437,9.82299E-05
46191600,42,0,42,0,207,0.202898551,9.87068E-05
78101800,34,0,34,0,207,0.164251208,9.87068E-05
40151600,39,0,39,0,208,0.1875,9.91836E-05
39131700,27,0,27,0,209,0.129186603,9.96604E-05
12181500,40,0,40,0,209,0.19138756,9.96604E-05
41111800,33,0,33,0,209,0.157894737,9.96604E-05
42141500,35,0,35,0,212,0.16509434,0.000101091
50192400,38,0,38,0,216,0.175925926,0.000102998
53101800,36,0,36,0,219,0.164383562,0.000104429
11111500,35,0,35,0,220,0.159090909,0.000104906
27113200,38,0,38,0,224,0.169642857,0.000106813
40161700,29,29,0,1,230,0.126086957,0.000109674
25172000,40,38,2,0.95,235,0.170212766,0.000112058
44102400,26,25,1,0.961538462,236,0.110169492,0.000112535
41123200,24,0,24,0,236,0.101694915,0.000112535
23231100,41,41,0,1,240,0.170833333,0.000114443
50193000,39,39,0,1,245,0.159183673,0.000116827
30103600,43,0,43,0,246,0.174796748,0.000117304
24112600,30,29,1,0.966666667,249,0.120481928,0.000118734
25173000,33,33,0,1,250,0.132,0.000119211
30152000,28,28,0,1,254,0.11023622,0.000121118
41104700,31,31,0,1,257,0.120622568,0.000122549
23241800,30,28,2,0.933333333,262,0.114503817,0.000124933
42262000,37,36,1,0.972972973,263,0.140684411,0.00012541
73171500,42,41,1,0.976190476,266,0.157894737,0.000126841
30151500,39,38,1,0.974358974,268,0.145522388,0.000127794
24112100,29,26,3,0.896551724,272,0.106617647,0.000129702
56101600,46,46,0,1,276,0.166666667,0.000131609
30151600,40,40,0,1,277,0.144404332,0.000132086
41112300,38,36,2,0.947368421,280,0.135714286,0.000133516
42281700,36,35,1,0.972222222,286,0.125874126,0.000136377
27113000,41,41,0,1,287,0.142857143,0.000136854
50161500,31,29,2,0.935483871,287,0.108013937,0.000136854
10191500,35,35,0,1,290,0.120689655,0.000138285
43211900,40,40,0,1,300,0.133333333,0.000143053
41123000,35,33,2,0.942857143,300,0.116666667,0.000143053
23241500,30,29,1,0.966666667,304,0.098684211,0.000144961
44111600,39,38,1,0.974358974,311,0.125401929,0.000148299
43232500,46,45,1,0.97826087,312,0.147435897,0.000148775
24141700,42,41,1,0.976190476,313,0.134185304,0.000149252
70171700,43,43,0,1,315,0.136507937,0.000150206
39121900,34,33,1,0.970588235,317,0.107255521,0.00015116
43232100,44,43,1,0.977272727,321,0.137071651,0.000153067
42172000,26,26,0,1,322,0.080745342,0.000153544
50151500,40,40,0,1,323,0.123839009,0.000154021
43212100,40,40,0,1,323,0.123839009,0.000154021
50191500,31,30,1,0.967741935,327,0.094801223,0.000155928
25172700,31,31,0,1,328,0.094512195,0.000156405
42132200,44,44,0,1,332,0.13253012,0.000158312
30151900,40,40,0,1,333,0.12012012,0.000158789
42181900,36,36,0,1,335,0.107462687,0.000159743
60101400,38,38,0,1,336,0.113095238,0.00016022
31411700,35,35,0,1,338,0.103550296,0.000161173
42192400,35,35,0,1,340,0.102941176,0.000162127
41105000,41,41,0,1,342,0.119883041,0.000163081
50221100,41,40,1,0.975609756,343,0.119533528,0.000163558
42281500,25,23,2,0.92,344,0.072674419,0.000164034
25173700,37,37,0,1,353,0.104815864,0.000168326
32131000,40,40,0,1,354,0.11299435,0.000168803
27112500,34,34,0,1,357,0.095238095,0.000170233
40151700,39,36,3,0.923076923,360,0.108333333,0.000171664
30172100,36,36,0,1,361,0.099722992,0.000172141
60121300,37,37,0,1,362,0.102209945,0.000172618
26111600,32,32,0,1,367,0.08719346,0.000175002
55121800,32,32,0,1,368,0.086956522,0.000175479
15121900,54,54,0,1,369,0.146341463,0.000175956
46161500,31,31,0,1,373,0.08310992,0.000177863
24101900,36,36,0,1,374,0.096256684,0.00017834
31241700,41,41,0,1,377,0.108753316,0.00017977
31162200,36,36,0,1,378,0.095238095,0.000180247
47101500,36,36,0,1,382,0.094240838,0.000182154
44101800,40,40,0,1,387,0.103359173,0.000184539
20122900,36,36,0,1,391,0.092071611,0.000186446
52151900,37,36,1,0.972972973,395,0.093670886,0.000188353
31241500,36,36,0,1,401,0.089775561,0.000191215
41104600,49,48,1,0.979591837,403,0.121588089,0.000192168
40151800,46,46,0,1,406,0.113300493,0.000193599
42131600,50,50,0,1,415,0.120481928,0.00019789
40173500,27,27,0,1,416,0.064903846,0.000198367
44101600,40,37,3,0.925,416,0.096153846,0.000198367
30141500,35,35,0,1,422,0.082938389,0.000201228
43191600,37,36,1,0.972972973,424,0.087264151,0.000202182
49121500,34,34,0,1,426,0.079812207,0.000203136
40101700,47,44,3,0.936170213,427,0.110070258,0.000203612
50221200,39,38,1,0.974358974,432,0.090277778,0.000205997
42171600,46,45,1,0.97826087,434,0.105990783,0.00020695
24101700,45,45,0,1,439,0.102505695,0.000209335
44111800,29,29,0,1,441,0.065759637,0.000210288
60121500,34,34,0,1,457,0.074398249,0.000217918
78131800,55,55,0,1,459,0.119825708,0.000218871
